Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
opti-page.com / local_display,2,1,4,0.00%,7.00,389.25,0.00%,0,0
r.duckduckgo.com / local_display,2,2,12,41.67%,2.42,554.42,0.00%,0,0
r.search.aol.com / referral,2,0,6,16.67%,7.67,198.33,0.00%,0,0
search.gmx.net / local_display,2,0,2,100.00%,1.00,0.00,0.00%,0,0
thuonggiado.vn / local_display,2,0,6,50.00%,2.50,133.50,0.00%,0,0
tw.search.yahoo.com / referral,2,1,5,40.00%,5.20,526.80,0.00%,0,0
xsmn.me / local_display,2,0,6,100.00%,1.00,0.00,0.00%,0,0
yandex.com / local_display,2,1,8,62.50%,2.38,57.13,0.00%,0,0
10.0.0.1:8000 / local_display,1,0,4,25.00%,3.25,312.75,0.00%,0,0
10.100.0.27 / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
116.109.22.193:8880 / local_display,1,0,2,50.00%,9.50,418.50,0.00%,0,0
123.30.116.134 / local_display,1,0,7,100.00%,1.00,0.00,0.00%,0,0
172.16.0.1:1000 / local_display,1,0,8,37.50%,4.88,289.00,0.00%,0,0
172.16.0.1:2050 / local_display,1,1,1,0.00%,11.00,299.00,0.00%,0,0
172.168.0.1 / local_display,1,0,2,100.00%,1.00,0.00,0.00%,0,0
172.17.0.1:12082 / local_display,1,0,2,100.00%,1.00,0.00,0.00%,0,0
172.23.3.254:1000 / local_display,1,0,8,25.00%,3.63,132.38,0.00%,0,0
192.168.1.1 / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
192.168.162.254:90 / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
192.168.2.1 / local_display,1,0,4,25.00%,4.75,492.25,0.00%,0,0
192.168.70.2:8880 / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
59.29.251.41 / local_display,1,0,1,0.00%,5.00,1175.00,0.00%,0,0
5giay.vn / local_display,1,1,1,0.00%,3.00,59.00,0.00%,0,0
amp-24h-com-vn.cdn.ampproject.org / local_display,1,0,7,28.57%,5.00,404.00,0.00%,0,0
animehay.tv / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
apkpure.com / local_display,1,0,4,50.00%,4.75,457.75,0.00%,0,0
axcus.top / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
bachlongmobile.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
bak.com.vn / local_display,1,0,3,66.67%,1.67,12.33,0.00%,0,0
blog.naver.com / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
bongda.com.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
bongdaplus.vn / local_display,1,0,2,0.00%,7.50,163.00,0.00%,0,0
cancaukr.vn / local_display,1,0,10,70.00%,6.60,165.30,0.00%,0,0
chartsapi.gdgdocs.org / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
chonhanh.vn / local_display,1,1,1,0.00%,2.00,14.00,0.00%,0,0
cic.org.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
clickbuy.com.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
degrey.vn / local_display,1,0,18,27.78%,4.28,382.50,0.00%,0,0
dienmayxanh.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
dientuachau.com / local_display,1,0,5,20.00%,4.00,74.40,0.00%,0,0
dmca.com / local_display,1,0,6,0.00%,3.33,260.00,0.00%,0,0
docbao.vn / local_display,1,0,2,50.00%,4.50,108.00,0.00%,0,0
ebank.tpb.vn / local_display,1,0,10,40.00%,4.60,125.30,0.00%,0,0
ebanking.scb.com.vn / local_display,1,0,1,0.00%,8.00,1048.00,0.00%,0,0
fedauth.pg.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
